Name,m/z,I,I %,Res.,S/N
FA-NaOD,615.1506,21530784,5.7,314559,19.1
FA-NaOD,615.1564599999999,9584820,2.6,354276,7.2
FA-NaOD,615.1719,48584936,12.9,334504,46.1
FA-NaOD,615.18645,9187606,2.4,362516,6.8
FA-NaOD,615.19876,6566207,1.7,421888,4.2
FA-NaOD,615.20828,24586590,6.5,338754,22.2
FA-NaOD,615.22914,13429156,3.6,295652,11.0
FA-NaOD,615.24491,11436503,3.0,342122,9.1
FA-NaOD,615.28093,7012943,1.9,469235,4.7
FA-NaOD,615.71299,7054814,1.9,281503,4.7
FA-NaOD,615.96717,6412067,1.7,390515,4.1
FA-NaOD,616.06606,6489192,1.7,496958,4.1
FA-NaOD,616.08419,7648419,2.0,441234,5.3
FA-NaOD,616.08781,7780527,2.1,238865,5.4
FA-NaOD,616.10255,21394656,5.7,283098,19.0
FA-NaOD,616.1055,24663274,6.6,315008,22.2
FA-NaOD,616.1162099999999,7335181,2.0,401082,5.0
FA-NaOD,616.12022,8858906,2.4,268770,6.5
FA-NaOD,616.12398,6931750,1.8,415529,4.6
FA-NaOD,616.13055,8925499,2.4,335883,6.6
FA-NaOD,616.1389,29005144,7.7,266328,26.6
FA-NaOD,616.14175,27698528,7.4,308136,25.3
FA-NaOD,616.15427,8744329,2.3,421461,6.4
FA-NaOD,616.1566,7022994,1.9,436172,4.7
FA-NaOD,616.1623900000001,7798181,2.1,432894,5.4
FA-NaOD,616.16724,9252276,2.5,455893,6.9
FA-NaOD,616.17537,22324688,5.9,323311,19.9
FA-NaOD,616.1782099999999,16899544,4.5,314264,14.5
FA-NaOD,616.1963099999999,6461972,1.7,441920,4.1
FA-NaOD,616.21192,10294855,2.7,384927,7.9
FA-NaOD,616.21456,14827088,3.9,369561,12.4
FA-NaOD,616.24869,7267008,1.9,386445,4.9
FA-NaOD,616.4537799999999,7697761,2.0,370136,5.3
FA-NaOD,616.457,6398316,1.7,396985,4.0
FA-NaOD,616.91121,7255868,1.9,464405,4.9
FA-NaOD,617.05758,9814299,2.6,463306,7.4
FA-NaOD,617.0611,6446375,1.7,394256,4.1
FA-NaOD,617.0785099999999,26726752,7.1,330019,24.3
FA-NaOD,617.09382,23118226,6.2,369182,20.7
FA-NaOD,617.09708,10342812,2.8,269746,8.0
FA-NaOD,617.11487,53817816,14.3,344304,51.3
FA-NaOD,617.13014,27730440,7.4,320658,25.3
FA-NaOD,617.13385,8491540,2.3,430368,6.1
FA-NaOD,617.14531,13442618,3.6,269070,11.1
FA-NaOD,617.1512700000001,58528332,15.6,326989,56.0
FA-NaOD,617.16183,6832752,1.8,420770,4.5
FA-NaOD,617.16635,18387582,4.9,394181,16.0
FA-NaOD,617.17193,6691473,1.8,367830,4.3
FA-NaOD,617.18155,8466096,2.3,400592,6.1
FA-NaOD,617.18481,10587323,2.8,201285,8.2
FA-NaOD,617.1876,35312324,9.4,345976,32.8
FA-NaOD,617.19168,7422674,2.0,347132,5.1
FA-NaOD,617.2026,7839477,2.1,326392,5.5
FA-NaOD,617.22398,22000442,5.9,307212,19.6
FA-NaOD,617.2604299999999,16440242,4.4,327012,14.0
FA-NaOD,617.6152599999999,6434873,1.7,399521,4.1
