mass,intensity,C,O,H,N,assign,numbers,calculated_mass,abs_error,rel_error
255.029892,1.0,14.0,5.0,8.0,0.0,1.0,1.0,256.037175,-6.580000001088493e-06,-0.025800897100675922
,,,,,,,,,,
255.051025,1.0,11.0,7.0,12.0,0.0,1.0,1.0,256.058305,-3.580000008662765e-06,-0.014036407062715254
255.05103,1.0,11.0,7.0,12.0,0.0,1.0,1.0,256.058305,1.4199999787134487e-06,0.005567513209860195
255.06628,1.0,15.0,4.0,12.0,0.0,1.0,1.0,256.07356,-3.5799999802410554e-06,-0.014035567462077132
255.066285,1.0,15.0,4.0,12.0,0.0,1.0,1.0,256.07356,1.4200000071351582e-06,0.005567180339554317
255.087402,1.0,12.0,6.0,16.0,0.0,1.0,1.0,256.09469,-1.1580000016886416e-05,-0.045396205089290986
255.087416,1.0,12.0,6.0,16.0,0.0,1.0,1.0,256.09469,2.4199999761886914e-06,0.009486943786316341
255.102662,1.0,16.0,3.0,16.0,0.0,1.0,1.0,256.109945,-6.5799999726667835e-06,-0.025793537084559247
255.123786,1.0,13.0,5.0,20.0,0.0,1.0,1.0,256.131075,-1.2580000014361659e-05,-0.04930939686808214
255.123798,1.0,13.0,5.0,20.0,0.0,1.0,1.0,256.131075,-5.800000162370367e-07,-0.002273406169020095
255.123802,1.0,13.0,5.0,20.0,0.0,1.0,1.0,256.131075,3.4200000020856436e-06,0.013405256488321084
255.139054,1.0,17.0,2.0,20.0,0.0,1.0,1.0,256.14633000000003,4.199999528164966e-07,0.0016461609707798658
255.160176,1.0,14.0,4.0,24.0,0.0,1.0,1.0,256.16746,-7.579999998563736e-06,-0.02970683010723325
255.23296,1.0,16.0,2.0,32.0,0.0,1.0,1.0,256.24023,6.419999994511372e-06,0.025153491126347367
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
257.00917,1.0,13.0,6.0,6.0,0.0,1.0,1.0,258.01644,6.419999994511372e-06,0.024979653428363557
,,,,,,,,,,
257.03029,1.0,10.0,8.0,10.0,0.0,1.0,1.0,258.03757,-3.5800000370844742e-06,-0.013928319643122506
257.030294,1.0,10.0,8.0,10.0,0.0,1.0,1.0,258.03757,4.2000000965991546e-07,0.001634048668441843
,,,,,,,,,,
257.045542,1.0,14.0,5.0,10.0,0.0,1.0,1.0,258.05282500000004,-6.580000029510202e-06,-0.02559857672812782
257.066671,1.0,11.0,7.0,14.0,0.0,1.0,1.0,258.073955,-7.580000026985445e-06,-0.02948651413074644
257.066675,1.0,11.0,7.0,14.0,0.0,1.0,1.0,258.073955,-3.5800000370844742e-06,-0.013926348240527384
257.06668,1.0,11.0,7.0,14.0,0.0,1.0,1.0,258.073955,1.4200000071351582e-06,0.005523858662410694
257.081927,1.0,15.0,4.0,14.0,0.0,1.0,1.0,258.08921,-6.5799999726667835e-06,-0.025594953521049277
257.08193,1.0,15.0,4.0,14.0,0.0,1.0,1.0,258.08921,-3.5799999802410554e-06,-0.013925521643007175
257.103054,1.0,12.0,6.0,18.0,0.0,1.0,1.0,258.11034,-9.58000002193593e-06,-0.03726132332109883
257.118313,1.0,16.0,3.0,18.0,0.0,1.0,1.0,258.125595,-5.579999975191541e-06,-0.02170207135417671
257.118318,1.0,16.0,3.0,18.0,0.0,1.0,1.0,258.125595,-5.799999878153272e-07,-0.002255770776375907
257.139431,1.0,13.0,5.0,22.0,0.0,1.0,1.0,258.146725,-1.7580000001737872e-05,-0.06836757759543254
257.154698,1.0,17.0,2.0,22.0,0.0,1.0,1.0,258.16198,-5.58000003203496e-06,-0.0216990009338074
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
